Day,Hour,Minute,Age,StartTime,Clutch ID,Set,TrayID,Individual ID,Location,ID,Hatch Time (seconds),Notes,Count.PH.Raw,Count.NH,P.NH.4,P.NH.M.4,P.NH.B.4,P.NH.5,P.NH.M.5,P.NH.B.4
20180730,21,7,4,21.11666667,425,2,#NAME?,A2,Body,1A,153,,1,,,,,,,
20180730,21,13,4,21.21666667,425,2,#NAME?,B2,Mem,1B,480,NH,1,1,,,,,,
20180730,21,22,4,21.36666667,425,2,#NAME?,C4,Body,2A,160,,1,,,,,,,
20180730,21,32,4,21.53333333,426,1,#NAME?,A4,Mem,1B,480,NH,1,1,,,,,,
20180730,21,39,4,21.65,426,1,#NAME?,B3,Body,1A,93,,1,,,,,,,
20180730,21,44,4,21.73333333,426,1,#NAME?,C2,Mem,2B,480,NH,1,,,,,,,
20180730,21,52,4,21.86666667,426,1,#NAME?,B1,Body,2A,107,,1,,,,,,,
20180730,20,40,4,20.66666667,427,1,#NAME?,A2,Body,1A,123,,1,,,,,,,
20180730,20,46,4,20.76666667,427,1,#NAME?,A3,Mem,1B,253,,1,,,,,,,
20180730,20,54,4,20.9,427,1,#NAME?,C3,Body,2A,64,,1,,,,,,,
20180730,21,0,4,21,427,1,#NAME?,A1,Mem,2B,127,,1,,,,,,,
20180712,19,8,5,19.13333333,312,1,#NAME?,C3,Body,1A,17,,1,,,,,,,
20180712,19,11,5,19.18333333,312,1,#NAME?,A3,Mem,1B,52,,1,,,,,,,
20180712,18,1,5,18.01666667,313,1,#NAME?,B3,Mem,1B,14,,1,,,,,,,
20180712,18,4,5,18.06666667,313,1,#NAME?,A2,Body,1A,18,,1,,,,,,,
20180712,18,7,5,18.11666667,313,1,#NAME?,C4,Mem,2B,99,,1,,,,,,,
20180712,18,12,5,18.2,313,1,#NAME?,B2,Body,2A,39,,1,,,,,,,
20180712,18,57,5,18.95,314,2,#NAME?,C2,Body,1A,23,,1,,,,,,,
20180712,19,1,5,19.01666667,314,2,#NAME?,C1,Mem,1B,19,,1,,,,,,,
20180712,19,20,5,19.33333333,318,1,#NAME?,B4,Mem,1B,61,,1,,,,,,,
20180712,19,25,5,19.41666667,318,1,#NAME?,C1,Body,1A,108,,1,,,,,,,
20180712,19,30,5,19.5,318,1,#NAME?,A3,Mem,2B,20,,1,,,,,,,
20180712,19,33,5,19.55,318,1,#NAME?,B1,Body,2A,141,,1,,,,,,,
20180712,16,53,5,16.88333333,320,2,#NAME?,C2,Mem,1B,79,,1,,,,,,,
20180712,16,58,5,16.96666667,320,2,#NAME?,B4,Body,1A,27,,1,,,,,,,
20180712,17,2,5,17.03333333,320,2,#NAME?,C4,Mem,2B,24,,1,,,,,,,
20180712,17,6,5,17.1,320,2,#NAME?,B5,Body,2A,33,,1,,,,,,,
20180712,17,9,5,17.15,320,2,#NAME?,C5,Mem,3B,64,,1,,,,,,,
20180712,17,14,5,17.23333333,320,2,#NAME?,C1,Body,3A,32,,1,,,,,,,
20180712,16,1,5,16.01666667,321,1,#NAME?,C4,Body,1A,39,,1,,,,,,,
20180712,16,5,5,16.08333333,321,1,#NAME?,C1,Mem,1B,480,NH,1,,,,,,,
20180712,16,15,5,16.25,321,1,#NAME?,C5,Body,2A,53,,1,,,,,,,
20180712,17,22,5,17.36666667,322,2,#NAME?,A2,Body,1A,62,,1,,,,,,,
20180712,17,26,5,17.43333333,322,2,#NAME?,C1,Mem,1B,123,,1,,,,,,,
20180712,17,31,5,17.51666667,322,2,#NAME?,C3,Body,2A,82,,1,,,,,,,
20180712,17,36,5,17.6,322,2,#NAME?,A3,Mem,2B,65,,1,,,,,,,
20180712,17,40,5,17.66666667,322,2,#NAME?,A4,Body,3A,47,,1,,,,,,,
20180712,17,45,5,17.75,322,2,#NAME?,B1,Mem,3B,77,,1,,,,,,,
20180719,17,7,5,17.11666667,358,3,#NAME?,C1,Body,1A,34,,1,,,,,,,
20180719,17,9,5,17.15,358,3,#NAME?,B4,Mem,1B,44,,1,,,,,,,
20180719,17,14,5,17.23333333,358,3,#NAME?,A5,Body,2A,32,,1,,,,,,,
20180719,17,18,5,17.3,358,3,#NAME?,C5,Mem,2B,52,,1,,,,,,,
20180719,17,22,5,17.36666667,358,3,#NAME?,A4,Body,3A,46,,1,,,,,,,
20180719,16,55,5,16.91666667,359,3,#NAME?,B5,Mem,1B,80,,1,,,,,,,
20180719,16,57,5,16.95,359,3,#NAME?,C5,Body,1A,21,,1,,,,,,,
20180719,17,50,5,17.83333333,360,1,#NAME?,A5,Body,1A,29,,1,,,,,,,
20180719,17,54,5,17.9,360,1,#NAME?,B5,Mem,1B,52,,1,,,,,,,
20180719,17,58,5,17.96666667,360,1,#NAME?,C3,Body,2A,28,,1,,,,,,,
20180719,17,30,5,17.5,362,2,#NAME?,C3,Mem,1B,35,,1,,,,,,,
20180719,17,33,5,17.55,362,2,#NAME?,C4,Body,1A,27,,1,,,,,,,
20180719,17,38,5,17.63333333,362,2,#NAME?,A3,Mem,2B,62,,1,,,,,,,
20180719,17,42,5,17.7,362,2,#NAME?,A5,Body,2A,36,,1,,,,,,,
20180722,17,0,5,17,379,2,#NAME?,A4,Mem,1B,34,,1,,,,,,,
20180722,17,4,5,17.06666667,379,2,#NAME?,A3,Body,1A,34,,1,,,,,,,
20180722,17,11,5,17.18333333,380,1,#NAME?,B1,Mem,1B,61,,1,,,,,,,
20180722,17,17,5,17.28333333,380,1,#NAME?,C1,Body,1A,20,,1,,,,,,,
20180722,17,21,5,17.35,380,1,#NAME?,C2,Mem,2B,32,,1,,,,,,,
20180722,17,25,5,17.41666667,380,1,#NAME?,C5,Body,2A,48,,1,,,,,,,
20180722,17,29,5,17.48333333,380,1,#NAME?,B4,Mem,3B,33,,1,,,,,,,
20180722,17,33,5,17.55,380,1,#NAME?,B5,Body,3A,52,,1,,,,,,,
20180722,17,41,5,17.68333333,382,1,#NAME?,A3,Mem,1B,32,,1,,,,,,,
20180722,17,45,5,17.75,382,1,#NAME?,B3,Body,1A,37,,1,,,,,,,
20180722,17,49,5,17.81666667,382,1,#NAME?,C2,Mem,2B,47,,1,,,,,,,
20180722,17,54,5,17.9,382,1,#NAME?,C3,Body,2A,36,,1,,,,,,,
20180726,16,50,5,16.83333333,396,1,#NAME?,C1,Mem,1B,83,,1,,,,,,,
20180726,16,55,5,16.91666667,396,1,#NAME?,C3,Body,1A,18,,1,,,,,,,
20180726,17,3,5,17.05,396,1,#NAME?,C2,Mem,2B,45,,1,,,,,,,
