Date,Age.day,Set,Stimulus,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con.avg,Con.median,Con.range,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC.avg,NC.median,NC.range,meanLtoH,medianLtoH,rangeLtoH
20180610,4,3,T-only,C49,1,22,39,22.65,0,0,1,9,5,9,29,30,30,29.67,3,0,All H,3,0.333333333,0.33,0,205,205,240,285,NA,NA,NA,NA,243.3333333,240,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.3333333,243.3333333,80
20180610,4,4,T-only,C43,3,23,32,23.53,0,0,0,10,5,10,29,30,30,29.67,7,0,All H,7,0.7,0.7,0,62,62,84,141,142,164,220,234,149.5714286,142,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.5714286,149.5714286,172
20180611,4,7,T-only,C59,1,21,26,21.43,0,0,0,9,6,9,29,29,29,29,2,0,All H,2,0.222222222,0.22,0,172,172,175,215,NA,NA,NA,NA,187.3333333,175,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.3333333,187.3333333,43
20180611,4,8,T-only,C58,1,22,46,22.77,2,0,3,6,4,6,29,29,29,29,2,0,All H,2,0.333333333,0.33,0,58,58,NA,NA,NA,NA,NA,NA,58,58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,0
20180611,4,9,T-only,C60,2,23,44,23.73,1,0,3,7,4,7,29,30,29,29.33,2,2,All H,2,0.285714286,0.29,0.5,203,203,209,NA,NA,NA,NA,NA,206,206,6,138,306,NA,NA,NA,NA,NA,NA,222,222,168,214,215.5,168
20180618,4,13,T-only,C114,1,21,59,21.98,0,0,2,7,6,7,29,29,29,29,3,0,All H,3,0.428571429,0.43,0,68,68,77,NA,NA,NA,NA,NA,72.5,72.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,74.75,9
20180618,4,14,T-only,C118,1,23,31,23.52,0,0,1,7,7,7,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,4,15,T-only,C111,1,0,7,0.12,0,0,0,10,5,10,29,29,29,29,6,1,All H,6,0.6,0.6,0.2,71,71,96,144,NA,NA,NA,NA,103.6666667,96,73,113,NA,NA,NA,NA,NA,NA,NA,113,113,0,106,108.3333334,73
20180621,4,18,T-only,C160,2,20,20,20.33,0,0,1,10,4,10,29,29,29,29,2,0,All H,2,0.2,0.2,0,9,9,23,NA,NA,NA,NA,NA,16,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,19.5,14
20180621,4,19,T-only,C157,1,21,28,21.47,0,0,1,8,6,8,29,29,29,29,1,1,All H,1,0.125,0.13,0.17,131,131,NA,NA,NA,NA,NA,NA,131,131,0,16,NA,NA,NA,NA,NA,NA,NA,16,16,0,73.5,73.5,115
20180621,4,20,T-only,C159,3,22,10,22.17,0,0,0,9,6,9,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180621,4,21,T-only,C158,2,23,0,23,0,0,1,9,5,9,29,29,29,29,1,1,All H,1,0.111111111,0.11,0.2,63,63,NA,NA,NA,NA,NA,NA,63,63,0,125,NA,NA,NA,NA,NA,NA,NA,125,125,0,94,94,62
20180621,4,22,T-only,C156,3,23,55,23.92,3,0,1,9,2,9,29,29,29,29,2,0,All H,2,0.222222222,0.22,0,68,68,117,NA,NA,NA,NA,NA,92.5,92.5,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,104.75,49
20180628,4,33,T-only,C220,1,20,14,20.23,0,0,1,9,5,9,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,34,T-only,C221,1,21,3,21.05,0,0,0,10,5,10,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,35,T-only,C228,1,21,53,21.88,0,0,0,10,5,10,29,29,29,29,3,0,All H,3,0.3,0.3,0,118,118,142,151,NA,NA,NA,NA,137,142,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,142,33
20180628,4,36,T-only,C225,3,22,45,22.75,0,0,0,10,5,10,29,29,29,29,1,0,All H,1,0.1,0.1,0,61,61,NA,NA,NA,NA,NA,NA,61,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,61,0
20180628,4,37,T-only,C222,1,23,41,23.68,1,0,1,9,4,9,29,30,30,29.67,1,0,All H,1,0.111111111,0.11,0,144,144,NA,NA,NA,NA,NA,NA,144,144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,144,0
20180702,4,39,T-only,C265,2,20,23,20.38,0,0,0,10,5,10,29,29,29,29,1,0,All H,1,0.1,0.1,0,125,125,NA,NA,NA,NA,NA,NA,125,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,125,0
20180702,4,40,T-only,C256,2,21,28,21.47,0,0,0,10,5,10,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180609,5,1,T-only,C30,3,17,22,17.37,2,0,1,7,5,7,32,31,32,31.67,3,5,All H,3,0.428571429,0.43,1,58,58,164,NA,NA,NA,NA,NA,111,111,106,42,59,192,199,NA,NA,NA,NA,123,125.5,157,119,143.5,157
20180611,5,5,T-only,C40,2,18,4,18.07,0,0,4,7,4,7,30,31,31,30.67,5,2,All H,5,0.714285714,0.71,0.5,41,41,48,71,NA,NA,NA,NA,53.33333333,48,30,75,NA,NA,NA,NA,NA,NA,NA,75,75,0,58.75,62.16666667,34
20180611,5,6,T-only,C48,2,19,17,19.28,2,0,1,6,6,6,32,31,31,31.33,3,2,All H,3,0.5,0.5,0.33,41,41,56,152,NA,NA,NA,NA,83,56,111,68,NA,NA,NA,NA,NA,NA,NA,68,68,0,79.25,75.5,111
20180615,5,10,T-only,C91,2,19,6,19.1,0,0,0,9,5,9,31,30,32,31,8,1,All H,8,0.888888889,0.89,0.2,45,45,56,NA,NA,NA,NA,NA,50.5,50.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,53.25,11
20180615,5,11,T-only,C89,3,20,31,20.52,2,0,3,8,2,8,32,32,33,32.33,7,2,All H,7,0.875,0.88,1,19,19,62,74,143,NA,NA,NA,74.5,68,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,74.25,124
20180615,5,12,T-only,C90,1,21,43,21.72,2,0,1,9,3,9,33,33,31,32.33,5,1,All H,5,0.555555556,0.56,0.33,13,13,49,80,NA,NA,NA,NA,47.33333333,49,67,70,NA,NA,NA,NA,NA,NA,NA,70,70,0,53,59.5,67
20180617,5,16,T-only,C113,1,17,35,17.58,0,0,1,7,7,7,32,31,31,31.33,4,3,All H,4,0.571428571,0.57,0.43,82,82,96,NA,NA,NA,NA,NA,89,89,14,138,NA,NA,NA,NA,NA,NA,NA,138,138,0,105.3333333,96,56
20180618,5,17,T-only,C121,2,16,35,16.58,0,0,3,7,5,7,32,32,31,31.67,5,3,All H,5,0.714285714,0.71,0.6,50,50,53,NA,NA,NA,NA,NA,51.5,51.5,3,90,109,NA,NA,NA,NA,NA,NA,99.5,99.5,19,75.5,76.25,59
20180624,5,23,T-only,C186,2,15,5,15.08,0,0,0,8,7,8,30,31,31,30.67,3,2,All H,3,0.375,0.38,0.29,26,26,NA,NA,NA,NA,NA,NA,26,26,0,69,NA,NA,NA,NA,NA,NA,NA,69,69,0,47.5,47.5,43
20180624,5,24,T-only,C170,1,16,7,16.12,0,0,1,9,5,9,31,30,30,30.33,5,1,All H,5,0.555555556,0.56,0.2,39,39,49,49,62,83,NA,NA,56.4,49,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,56.4,44
20180624,5,26,T-only,C185,2,18,12,18.2,2,0,4,6,3,6,29,30,29,29.33,1,0,All H,1,0.166666667,0.17,0,19,19,NA,NA,NA,NA,NA,NA,19,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,0
20180624,5,25,T-only,C176,1,17,2,17.03,0,0,1,9,5,9,31,31,31,31,3,3,All H,3,0.333333333,0.33,0.6,56,56,103,NA,NA,NA,NA,NA,79.5,79.5,47,65,NA,NA,NA,NA,NA,NA,NA,65,65,0,74.66666667,79.5,47
20180624,5,27,T-only,C180,2,19,15,19.25,1,0,0,6,8,6,31,30,31,30.67,0,3,All H,0,0,0,0.38,45,45,184,NA,NA,NA,NA,NA,114.5,114.5,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.5,149.25,139
20180624,5,28,T-only,C169,2,19,53,19.88,1,0,0,8,6,8,32,32,32,32,4,0,All H,4,0.5,0.5,0,35,35,54,121,NA,NA,NA,NA,70,54,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,86
20180624,5,29,T-only,C192,1,17,50,17.83,4,0,2,6,3,6,31,30,31,30.67,5,2,All H,5,0.833333333,0.83,0.67,57,57,69,76,81,NA,NA,NA,70.75,72.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.75,73.375,24
20180628,5,30,T-only,C219,1,17,9,17.15,0,0,5,7,3,7,32,32,32,32,7,3,All H,7,1,1,1,46,46,46,NA,NA,NA,NA,NA,46,46,0,48,52,NA,NA,NA,NA,NA,NA,50,50,4,48,48,6
20180702,5,31,T-only,C245,1,16,18,16.3,0,0,2,8,5,8,30,31,31,30.67,8,1,All H,8,1,1,0.2,46,46,51,58,63,NA,NA,NA,54.5,54.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,56.25,17
20180702,5,32,T-only,C243,1,16,51,16.85,1,0,3,8,3,8,32,31,31,31.33,5,2,All H,5,0.625,0.63,0.67,90,90,101,NA,NA,NA,NA,NA,95.5,95.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,98.25,11
20180702,5,38,T-only,C240,1,17,38,17.63,0,0,0,9,6,9,32,32,32,32,6,5,All H,6,0.666666667,0.67,0.83,18,18,40,128,NA,NA,NA,NA,62,40,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,110
20180703,5,41,T-only,C262,1,19,13,19.22,0,0,6,6,3,6,31,32,31,31.33,6,3,All H,6,1,1,1,17,17,30,43,NA,NA,NA,NA,30,30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,26
20180703,5,42,T-only,C268,1,19,36,19.6,0,0,0,6,9,6,31,31,31,31,3,2,All H,3,0.5,0.5,0.22,78,78,87,111,NA,NA,NA,NA,92,87,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,92,33
