Date,Age.day,Set,Stimulus,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con.avg,Con.median,Con.range,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC.avg,NC.median,NC.range,meanLtoH,medianLtoH,rangeLtoH
20180609,5,1,M+T,C35,3,17,10,17.17,2,0,1,8,4,8,32,31,31,31.33,8,3,All H,8,1,1,0.75,11,11,56,59,NA,NA,NA,NA,42,56,48,13,14,16,17,57,76,105,111,51.125,37,98,48.63636364,56,100
20180611,5,5,M+T,C41,2,17,39,17.65,1,0,5,5,4,5,30,31,31,30.67,5,3,All H,5,1,1,0.75,6,6,24,25,27,NA,NA,NA,20.5,24.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,24.5,21
20180611,5,6,M+T,C50,1,18,40,18.67,1,0,3,6,5,6,32,32,31,31.67,3,2,All H,3,0.5,0.5,0.4,8,8,52,66,NA,NA,NA,NA,42,52,58,60,NA,NA,NA,NA,NA,NA,NA,60,60,0,46.5,56,58
20180615,5,10,M+T,C89,2,18,49,18.82,0,0,2,8,5,8,33,34,33,33.33,8,2,All H,8,1,1,0.4,16,16,17,43,NA,NA,NA,NA,25.33333333,17,27,49,NA,NA,NA,NA,NA,NA,NA,49,49,0,31.25,34.16666667,33
20180615,5,11,M+T,C90,2,19,50,19.83,1,0,3,8,3,8,31,31,31,31,3,1,All H,3,0.375,0.38,0.33,52,52,NA,NA,NA,NA,NA,NA,52,52,0,25,NA,NA,NA,NA,NA,NA,NA,25,25,0,38.5,38.5,27
20180615,5,12,M+T,C79,1,21,12,21.2,0,0,4,8,3,8,33,33,33,33,4,0,All H,4,0.5,0.5,0,12,12,41,76,86,NA,NA,NA,53.75,58.5,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.75,64.875,74
20180618,5,16,M+T,C116,1,16,9,16.15,1,0,2,9,3,9,32,32,32,32,6,1,All H,6,0.666666667,0.67,0.33,12,12,15,18,NA,NA,NA,NA,15,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,6
20180617,5,17,M+T,C112,1,18,34,18.57,1,0,5,5,4,5,32,32,33,32.33,5,2,All H,5,1,1,0.5,22,22,66,NA,NA,NA,NA,NA,44,44,44,36,NA,NA,NA,NA,NA,NA,NA,36,36,0,41.33333333,44,44
20180624,5,23,M+T,C180,1,15,27,15.45,0,0,1,7,7,7,29,29,29,29,4,2,All H,4,0.571428571,0.57,0.29,5,5,34,53,NA,NA,NA,NA,30.66666667,34,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.66666667,34,48
20180624,5,24,M+T,C172,1,15,45,15.75,0,0,2,8,5,8,30,31,31,30.67,3,1,All H,3,0.375,0.38,0.2,58,58,190,NA,NA,NA,NA,NA,124,124,132,139,NA,NA,NA,NA,NA,NA,NA,139,139,0,129,139,132
20180624,5,26,M+T,C184,2,17,38,17.63,0,0,2,8,5,8,29,29,30,29.33,5,1,All H,5,0.625,0.63,0.2,50,50,63,77,NA,NA,NA,NA,63.33333333,63,27,45,NA,NA,NA,NA,NA,NA,NA,45,45,0,58.75,63.16666667,32
20180624,5,25,M+T,C169,1,16,46,16.77,0,0,0,10,5,10,31,31,31,31,4,2,All H,4,0.4,0.4,0.4,11,11,47,61,95,NA,NA,NA,53.5,54,84,52,72,NA,NA,NA,NA,NA,NA,62,62,20,56.33333333,61.5,84
20180624,5,27,M+T,C189,2,18,36,18.6,2,0,0,8,5,8,30,30,30,30,7,2,All H,7,0.875,0.88,0.4,44,44,75,NA,NA,NA,NA,NA,59.5,59.5,31,39,NA,NA,NA,NA,NA,NA,NA,39,39,0,52.66666667,59.5,36
20180624,5,28,M+T,C175,1,20,10,20.17,4,0,5,5,1,5,31,32,32,31.67,2,0,All H,2,0.4,0.4,0,45,45,53,NA,NA,NA,NA,NA,49,49,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,51,8
20180624,5,29,M+T,C191,1,17,32,17.53,1,0,1,9,4,9,31,32,32,31.67,5,3,All H,5,0.555555556,0.56,0.75,14,14,25,35,NA,NA,NA,NA,24.66666667,25,21,24,NA,NA,NA,NA,NA,NA,NA,24,24,0,24.5,24.83333334,21
20180625,5,30,M+T,C190,1,18,26,18.43,0,0,1,9,5,9,32,31,31,31.33,4,1,All H,4,0.444444444,0.44,0.2,23,23,32,32,NA,NA,NA,NA,29,32,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,32,9
20180628,5,31,M+T,C218,3,17,34,17.57,0,0,5,6,4,6,32,31,32,31.67,3,1,All H,3,0.5,0.5,0.25,99,99,123,186,212,NA,NA,NA,155,154.5,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,170.5,113
20180702,5,32,M+T,C239,1,16,34,16.57,2,0,1,8,4,8,32,31,31,31.33,3,4,All H,3,0.375,0.38,1,22,22,37,49,69,NA,NA,NA,44.25,43,47,88,NA,NA,NA,NA,NA,NA,NA,88,88,0,53,49,66
20180702,5,38,M+T,C245,2,17,15,17.25,0,0,3,8,4,8,31,31,32,31.33,8,3,All H,8,1,1,0.75,5,5,49,60,NA,NA,NA,NA,38,49,55,20,NA,NA,NA,NA,NA,NA,NA,20,20,0,33.5,43.5,55
20180703,5,41,M+T,C267,1,18,56,18.93,0,0,3,7,5,7,32,32,32,32,7,4,All H,7,1,1,0.8,53,53,61,67,NA,NA,NA,NA,60.33333333,61,14,49,NA,NA,NA,NA,NA,NA,NA,49,49,0,57.5,60.66666667,18
20180703,5,42,M+T,C263,1,19,54,19.9,0,0,9,5,1,5,33,34,33,33.33,5,1,All H,5,1,1,1,52,52,75,113,NA,NA,NA,NA,80,75,61,59,NA,NA,NA,NA,NA,NA,NA,59,59,0,74.75,77.5,61
20180610,4,2,M-only,C52,3,20,45,20.75,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180610,4,3,M-only,C51,1,22,16,22.27,0,0,0,0,15,15,29,30,29,29.33,NA,4,All H,4,0.266666667,NA,0.27,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,103,121,269,NA,NA,NA,NA,137.75,112,211,137.75,129.375,211
20180610,4,4,M-only,C54,2,23,0,23,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,4,7,M-only,C60,1,21,44,21.73,0,0,0,0,15,15,29,29,30,26,NA,3,All H,3,0.2,NA,0.2,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,65,84,NA,NA,NA,NA,NA,70.66666667,65,21,70.66666667,70.66666667,21
20180611,4,8,M-only,C61,1,22,28,22.47,0,0,0,0,15,15,29,29,29,29,NA,1,All H,1,0.066666667,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,NA,NA,321,321,0,321,321,0
20180611,4,9,M-only,C59,2,0,1,0.02,0,0,0,0,15,15,29,30,30,29.67,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,4,13,M-only,C118,3,22,17,22.28,1,0,1,0,13,13,29,29,29,29,NA,2,All H,2,0.153846154,NA,0.15,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,53,53,0,53,53,0
20180618,4,14,M-only,C115,2,22,54,22.9,2,0,0,0,13,13,29,29,30,29.33,NA,2,All H,2,0.153846154,NA,0.15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,92,NA,NA,NA,NA,NA,NA,48,48,88,48,70,88
20180618,4,15,M-only,C117,1,23,11,23.18,0,0,0,0,13,13,29,29,29,29,NA,2,All H,2,0.153846154,NA,0.15,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,87,NA,NA,NA,NA,NA,NA,71,71,32,71,79,32
20180621,4,18,M-only,C157,3,20,35,20.58,1,0,3,0,11,11,29,30,30,29.67,NA,6,All H,6,0.545454545,NA,0.55,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,51,61,67,91,106,NA,NA,68.83333333,64,69,68.83333333,67.91666667,69
20180621,4,19,M-only,C156,2,21,11,21.18,0,0,1,0,14,14,29,29,29,29,NA,3,All H,3,0.214285714,NA,0.21,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,179,NA,NA,NA,NA,NA,NA,116.5,116.5,125,116.5,147.75,125
20180621,4,20,M-only,C158,3,22,27,22.45,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180621,4,21,M-only,C160,1,22,45,22.75,0,0,0,0,15,15,29,29,29,29,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
