Date,Age.day,Set,Stimulus,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,Con1,Con2,Con3,Con4,Con5,Con6,Con7,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8
20180621,4,19,T-only,C157,1,21,28,21.47,0,0,1,8,6,8,29,29,29,29,1,1,All H,1,0.125,0.13,0.17,131,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
20180621,4,20,T-only,C159,3,22,10,22.17,0,0,0,9,6,9,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180621,4,21,T-only,C158,2,23,0,23,0,0,1,9,5,9,29,29,29,29,1,1,All H,1,0.111111111,0.11,0.2,63,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA
20180621,4,22,T-only,C156,3,23,55,23.92,3,0,1,9,2,9,29,29,29,29,2,0,All H,2,0.222222222,0.22,0,68,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,33,T-only,C220,1,20,14,20.23,0,0,1,9,5,9,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,34,T-only,C221,1,21,3,21.05,0,0,0,10,5,10,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,35,T-only,C228,1,21,53,21.88,0,0,0,10,5,10,29,29,29,29,3,0,All H,3,0.3,0.3,0,118,142,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,36,T-only,C225,3,22,45,22.75,0,0,0,10,5,10,29,29,29,29,1,0,All H,1,0.1,0.1,0,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,37,T-only,C222,1,23,41,23.68,1,0,1,9,4,9,29,30,30,29.67,1,0,All H,1,0.111111111,0.11,0,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180702,4,39,T-only,C265,2,20,23,20.38,0,0,0,10,5,10,29,29,29,29,1,0,All H,1,0.1,0.1,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180702,4,40,T-only,C256,2,21,28,21.47,0,0,0,10,5,10,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180609,5,1,T-only,C30,3,17,22,17.37,2,0,1,7,5,7,32,31,32,31.67,3,5,All H,3,0.428571429,0.43,1,58,164,NA,NA,NA,NA,NA,42,59,192,199,NA,NA,NA,NA
20180611,5,5,T-only,C40,2,18,4,18.07,0,0,4,7,4,7,30,31,31,30.67,5,2,All H,5,0.714285714,0.71,0.5,41,48,71,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
20180611,5,6,T-only,C48,2,19,17,19.28,2,0,1,6,6,6,32,31,31,31.33,3,2,All H,3,0.5,0.5,0.33,41,56,152,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA
20180615,5,10,T-only,C91,2,19,6,19.1,0,0,0,9,5,9,31,30,32,31,8,1,All H,8,0.888888889,0.89,0.2,45,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180615,5,11,T-only,C89,3,20,31,20.52,2,0,3,8,2,8,32,32,33,32.33,7,2,All H,7,0.875,0.88,1,19,62,74,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180615,5,12,T-only,C90,1,21,43,21.72,2,0,1,9,3,9,33,33,31,32.33,5,1,All H,5,0.555555556,0.56,0.33,13,49,80,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA
20180617,5,16,T-only,C113,1,17,35,17.58,0,0,1,7,7,7,32,31,31,31.33,4,3,All H,4,0.571428571,0.57,0.43,82,96,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA
20180618,5,17,T-only,C121,2,16,35,16.58,0,0,3,7,5,7,32,32,31,31.67,5,3,All H,5,0.714285714,0.71,0.6,50,53,NA,NA,NA,NA,NA,90,109,NA,NA,NA,NA,NA,NA
20180624,5,23,T-only,C186,2,15,5,15.08,0,0,0,8,7,8,30,31,31,30.67,3,2,All H,3,0.375,0.38,0.29,26,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA
20180624,5,24,T-only,C170,1,16,7,16.12,0,0,1,9,5,9,31,30,30,30.33,5,1,All H,5,0.555555556,0.56,0.2,39,49,49,62,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180624,5,26,T-only,C185,2,18,12,18.2,2,0,4,6,3,6,29,30,29,29.33,1,0,All H,1,0.166666667,0.17,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180624,5,25,T-only,C176,1,17,2,17.03,0,0,1,9,5,9,31,31,31,31,3,3,All H,3,0.333333333,0.33,0.6,56,103,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA
20180624,5,27,T-only,C180,2,19,15,19.25,1,0,0,6,8,6,31,30,31,30.67,0,3,All H,0,0,0,0.38,45,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180624,5,28,T-only,C169,2,19,53,19.88,1,0,0,8,6,8,32,32,32,32,4,0,All H,4,0.5,0.5,0,35,54,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180624,5,29,T-only,C192,1,17,50,17.83,4,0,2,6,3,6,31,30,31,30.67,5,2,All H,5,0.833333333,0.83,0.67,57,69,76,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,5,30,T-only,C219,1,17,9,17.15,0,0,5,7,3,7,32,32,32,32,7,3,All H,7,1,1,1,46,46,NA,NA,NA,NA,NA,48,52,NA,NA,NA,NA,NA,NA
20180702,5,31,T-only,C245,1,16,18,16.3,0,0,2,8,5,8,30,31,31,30.67,8,1,All H,8,1,1,0.2,46,51,58,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180702,5,32,T-only,C243,1,16,51,16.85,1,0,3,8,3,8,32,31,31,31.33,5,2,All H,5,0.625,0.63,0.67,90,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180702,5,38,T-only,C240,1,17,38,17.63,0,0,0,9,6,9,32,32,32,32,6,5,All H,6,0.666666667,0.67,0.83,18,40,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180703,5,41,T-only,C262,1,19,13,19.22,0,0,6,6,3,6,31,32,31,31.33,6,3,All H,6,1,1,1,17,30,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180703,5,42,T-only,C268,1,19,36,19.6,0,0,0,6,9,6,31,31,31,31,3,2,All H,3,0.5,0.5,0.22,78,87,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
