Date,Age.day,Set,Stimulus,StimClass1,StimClass2,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,Con10,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC9,NC10,NC11,NC12,NC13,NC14,NC15,Notes
20170626,4,6,T-only,T-included,T-only,C133,3,19,30,19.5,0,0,0,9,6,9,29,30,NA,29.5,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,7,T-only,T-included,T-only,C136,1,19,50,19.83,0,1,0,10,4,10,29,30,NA,29.5,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,8,T-only,T-included,T-only,C119,2,21,32,21.53,0,0,2,8,5,8,30,30,30,30,3,1,All H,3,0.375,0.38,0.2,164,164,174,305,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,9,T-only,T-included,T-only,C117,2,22,13,22.22,0,0,0,10,5,10,30,30,30,30,1,0,All H,1,0.1,0.1,0,363,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,10,T-only,T-included,T-only,C155,3,19,29,19.48,0,1,0,8,6,8,29,29,30,29.33,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,11,T-only,T-included,T-only,C159,1,20,27,20.45,0,0,0,10,5,10,30,30,30,30,2,0,All H,2,0.2,0.2,0,10,10,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,12,T-only,T-included,T-only,C151,3,21,6,21.1,0,0,0,10,5,10,30,30,30,30,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,13,T-only,T-included,T-only,C148,3,22,3,22.05,0,0,0,10,5,10,30,30,30,30,2,0,All H,2,0.2,0.2,0,169,169,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,14,T-only,T-included,T-only,C171,3,19,12,19.2,0,0,0,10,5,10,29,29,30,29.33,4,0,All H,4,0.4,0.4,0,5,5,11,12,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,15,T-only,T-included,T-only,C170,2,20,17,20.28,0,0,0,10,5,10,29,29,30,29.33,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,16,T-only,T-included,T-only,C172,4,21,14,21.23,0,1,0,9,5,9,30,30,30,30,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170629,4,17,T-only,T-included,T-only,C164,5,21,56,21.93,0,0,0,10,5,10,30,30,29,29.67,2,0,All H,2,0.2,0.2,0,205,205,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170706,4,18,T-only,T-included,T-only,C208,2,18,54,18.9,0,0,0,10,5,10,30,30,30,30,2,0,All H,2,0.2,0.2,0,143,143,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170706,4,19,T-only,T-included,T-only,C212,2,20,29,20.48,0,0,0,10,5,10,30,30,30,30,7,0,All H,7,0.7,0.7,0,114,114,153,205,275,355,413,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170706,4,20,T-only,T-included,T-only,C214,1,21,7,21.12,0,0,2,9,4,9,30,30,30,30,4,0,All H,4,0.444444444,0.44,0,35,35,108,117,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170622,5,3,T-only,T-included,T-only,C80,2,18,35,18.58,1,0,3,7,4,7,33,34,34,33.67,7,1,All H,7,1,1,0.25,20,20,69,99,113,114,124,260,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170622,5,4,T-only,T-included,T-only,C78,3,19,24,19.4,1,0,2,8,4,8,34,34,34,34,8,1,All H,8,1,1,0.25,48,48,49,71,77,106,146,185,306,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170622,5,5,T-only,T-included,T-only,C73,2,20,44,20.73,4,0,0,6,5,6,35,35,34,34.67,6,3,All H,6,1,1,0.6,32,32,51,86,102,105,131,NA,NA,NA,NA,163,163,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,6,T-only,T-included,T-only,C131,2,15,1,15.02,0,0,0,9,6,9,32,32,31,31.67,8,4,All H,8,0.888888889,0.89,0.67,61,61,65,75,150,161,171,328,340,NA,NA,252,261,325,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,7,T-only,T-included,T-only,C129,3,15,26,15.43,0,0,0,10,5,10,32,32,31,31.67,9,2,All H,9,0.9,0.9,0.4,57,57,58,84,89,101,111,116,441,525,NA,97,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,8,T-only,T-included,T-only,C123,1,16,15,16.25,0,0,0,9,6,9,32,32,31,31.67,9,0,All H,9,1,1,0,12,12,62,78,106,118,147,200,251,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,9,T-only,T-included,T-only,C122,2,17,36,17.6,1,0,1,8,5,8,31,31,32,31.33,6,1,All H,6,0.75,0.75,0.2,63,63,75,147,147,266,396,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,10,T-only,T-included,T-only,C165,2,15,4,15.07,0,1,1,9,4,9,33,33,33,33,8,3,All H,8,0.888888889,0.89,0.75,20,20,54,96,96,101,114,140,215,NA,NA,140,154,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,11,T-only,T-included,T-only,C178,2,16,4,16.07,0,0,0,8,7,8,31,32,33,32,5,2,All H,5,0.625,0.63,0.29,57,57,183,200,238,368,NA,NA,NA,NA,NA,323,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,12,T-only,T-included,T-only,C188,3,16,44,16.73,0,0,0,10,5,10,32,32,32,32,8,2,All H,8,0.8,0.8,0.4,66,66,101,106,128,133,203,275,350,NA,NA,249,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,13,T-only,T-included,T-only,C183,2,18,10,18.17,1,0,2,8,4,8,34,34,34,34,8,3,All H,8,1,1,0.75,38,38,45,56,58,62,80,113,135,NA,NA,108,214,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,14,T-only,T-included,T-only,C179,1,19,4,19.07,2,0,4,6,3,6,33,33,34,33.33,5,2,All H,5,0.833333333,0.83,0.67,50,50,88,158,241,260,NA,NA,NA,NA,NA,154,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170708,5,15,T-only,T-included,T-only,C226,2,14,50,14.83,5,0,0,7,3,7,32,32,32,32,4,0,All H,4,0.571428571,0.57,0,103,103,126,193,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170708,5,16,T-only,T-included,T-only,C227,2,15,14,15.23,3,0,2,8,2,8,32,33,34,33,6,2,All H,6,0.75,0.75,1,24,24,36,104,123,140,322,NA,NA,NA,NA,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,17,T-only,T-included,T-only,C234,2,15,12,15.2,3,0,1,7,4,7,32,32,32,32,5,3,All H,5,0.714285714,0.71,0.75,30,30,44,100,168,247,NA,NA,NA,NA,NA,223,356,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,19,T-only,T-included,T-only,C233,1,16,29,16.48,0,0,4,7,4,7,33,33,34,33.33,6,3,All H,6,0.857142857,0.86,0.75,59,59,96,111,144,149,302,NA,NA,NA,NA,103,116,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,20,T-only,T-included,T-only,C235,3,18,3,18.05,0,0,3,8,4,8,32,33,34,33,6,2,All H,6,0.75,0.75,0.5,70,70,133,181,232,266,512,NA,NA,NA,NA,43,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,21,T-only,T-included,T-only,C239,2,18,44,18.73,3,0,1,7,4,7,32,32,32,32,7,4,NA,7,1,1,1,29,29,103,105,111,147,194,201,NA,NA,NA,237,237,237,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170710,5,22,T-only,T-included,T-only,C254,1,14,36,14.6,4,1,0,9,1,9,34,34,33,33.67,9,1,NA,9,1,1,1,13,13,19,19,33,36,38,85,85,NA,NA,58,61,85,168,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170710,5,23,T-only,T-included,T-only,C253,1,15,49,15.82,2,0,2,8,3,8,32,32,32,32,8,1,All H,8,1,1,0.33,27,27,72,76,78,108,131,182,347,NA,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
