Date,Age.day,Set,Stimulus,StimClass1,StimClass2,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,Con10,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC9,NC10,NC11,NC12,NC13,NC14,NC15,Notes
20170706,4,20,M-only,M-only,M-included,C215,1,20,49,20.82,0,0,0,0,15,15,30,30,30,30,NA,10,All H,10,0.666666667,NA,0.67,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,46,48,70,70,85,101,101,129,287,NA,NA,NA,NA,NA,NA
20170622,5,3,M-only,M-only,M-included,C77,1,18,26,18.43,3,0,2,0,10,10,32,33,33,32.67,NA,10,NA,10,1,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,36,37,42,53,53,62,65,77,79,NA,NA,NA,NA,NA,NA
20170622,5,4,M-only,M-only,M-included,C72,3,19,7,19.12,4,0,2,0,9,9,32,33,34,33,NA,9,NA,9,1,NA,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,48,53,63,65,80,95,133,282,NA,NA,NA,NA,NA,NA,NA
20170622,5,5,M-only,M-only,M-included,C80,1,20,9,20.15,9,0,1,0,5,5,34,34,33,33.67,NA,5,NA,5,1,NA,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,51,51,90,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,6,M-only,M-only,M-included,C117,3,14,18,14.3,1,0,0,0,14,14,32,32,32,32,NA,8,All H,8,0.571428571,NA,0.57,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,56,56,64,78,126,331,465,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,7,M-only,M-only,M-included,C128,2,15,47,15.78,2,1,0,0,12,12,31,31,31,31,NA,11,All H,11,0.916666667,NA,0.92,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,48,56,56,58,58,60,78,80,92,189,NA,NA,NA,NA,NA
20170627,5,8,M-only,M-only,M-included,C124,3,16,53,16.88,0,0,2,0,13,13,32,32,31,31.67,NA,6,All H,6,0.461538462,NA,0.46,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,41,57,62,68,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,9,M-only,M-only,M-included,C123,2,17,59,17.98,1,0,3,0,11,11,33,33,32,32.67,NA,10,All H,10,0.909090909,NA,0.91,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,52,52,58,65,65,66,85,260,NA,NA,NA,NA,NA,NA
20170630,5,10,M-only,M-only,M-included,C163,2,14,44,14.73,2,0,0,0,13,13,30,30,31,30.33,NA,12,All H,12,0.923076923,NA,0.92,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,46,48,53,57,57,57,57,57,82,293,332,NA,NA,NA,NA
20170630,5,11,M-only,M-only,M-included,C166,1,15,43,15.72,5,0,0,0,10,10,32,32,33,32.33,NA,7,All H,7,0.7,NA,0.7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,18,25,46,46,105,144,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,12,M-only,M-only,M-included,C202,3,17,5,17.08,3,0,0,0,12,12,32,32,32,32,NA,1,All H,1,0.083333333,NA,0.08,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,13,M-only,M-only,M-included,C178,3,17,27,17.45,6,0,1,0,8,8,31,31,31,31,NA,5,All H,5,0.625,NA,0.63,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,59,73,90,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,14,M-only,M-only,M-included,C184,3,18,37,18.62,6,0,1,0,8,8,33,33,34,33.33,NA,8,NA,8,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,17,19,19,38,48,53,68,NA,NA,NA,NA,NA,NA,NA,NA
20170708,5,15,M-only,M-only,M-included,C230,1,14,36,14.6,6,0,3,0,6,6,32,32,33,32.33,NA,6,NA,6,1,NA,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,38,56,90,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170708,5,16,M-only,M-only,M-included,C229,1,15,59,15.98,6,0,2,0,7,7,31,32,33,32,NA,7,NA,7,1,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,56,69,92,92,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,17,M-only,M-only,M-included,C234,1,14,33,14.55,5,0,2,0,8,8,32,32,32,32,NA,4,All H,4,0.5,NA,0.5,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,87,159,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,19,M-only,M-only,M-included,C239,1,17,7,17.12,1,0,1,0,13,13,32,32,33,32.33,NA,13,NA,13,1,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,37,49,53,58,58,64,74,96,96,96,96,185,NA,NA,NA
20170709,5,20,M-only,M-only,M-included,C236,2,17,21,17.35,4,0,2,0,9,9,32,33,34,33,NA,7,All H,7,0.777777778,NA,0.78,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,50,54,76,76,118,514,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,21,M-only,M-only,M-included,C238,1,18,58,18.97,1,0,0,0,14,14,31,32,32,31.67,NA,14,NA,14,1,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,26,43,43,48,50,51,55,58,61,61,92,103,NA,NA
20170710,5,22,M-only,M-only,M-included,C248,3,14,45,14.75,3,0,4,0,8,8,33,33,34,33.33,NA,7,All H,7,0.875,NA,0.88,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,15,29,38,52,402,NA,NA,NA,NA,NA,NA,NA,NA,NA
